sequence,client_time_iso,elapsed_ms,raw_angle_rad,raw_angle_deg,speech_detected,http_latency_ms,http_status,acoustic_state,acoustic_confidence,hypothesis_a_deg,hypothesis_b_deg,face_detected,face_count,face_center_x_norm,face_center_y_norm,face_eye_midpoint_x_norm,face_eye_midpoint_y_norm,camera_frame_width_px,camera_frame_height_px,face_heading_deg,face_confidence,face_score_raw,face_age_ms,fusion_state,confirmed_heading_deg,agreement_error_deg,reason_code
2676,2026-08-31T17:47:50.851+01:00,538740.2984,1.5882495641708374,90.99999684048139,False,12.226300008478574,200,SEARCHING,0.0,,,False,0,,,,,,,,0.0,,217.48829999705777,WITHHELD,,,ACOUSTIC_NOT_TRACKING
2677,2026-08-31T17:47:51.039+01:00,538942.4780000045,1.5882495641708374,90.99999684048139,False,25.565200005075894,200,SEARCHING,0.0,,,False,0,,,,,,,,0.0,,199.25780000630766,WITHHELD,,,ACOUSTIC_NOT_TRACKING
2678,2026-08-31T17:47:51.238+01:00,539138.9133999983,1.5882495641708374,90.99999684048139,False,24.839300007442944,200,SEARCHING,0.0,,,False,0,,,,,,,,0.0,,189.6825000003446,WITHHELD,,,ACOUSTIC_NOT_TRACKING
2679,2026-08-31T17:47:51.438+01:00,539332.7512000033,1.5882495641708374,90.99999684048139,False,17.753700012690388,200,SEARCHING,0.0,,,False,0,,,,,,,,0.0,,172.91999999724794,WITHHELD,,,ACOUSTIC_NOT_TRACKING
2680,2026-08-31T17:47:51.640+01:00,539539.5766000075,1.5882495641708374,90.99999684048139,False,23.174600006313995,200,SEARCHING,0.0,,,False,0,,,,,,,,0.0,,158.51230001135264,WITHHELD,,,ACOUSTIC_NOT_TRACKING
2681,2026-08-31T17:47:51.842+01:00,539743.5667000026,1.5184364318847656,86.99999900590097,True,25.894799997331575,200,CANDIDATE,0.7239763776871746,3.0000009940990253,176.99999900590097,False,0,,,,,,,,0.0,,151.22060000430793,WITHHELD,,,ACOUSTIC_NOT_TRACKING
2682,2026-08-31T17:47:52.107+01:00,539995.8737000052,1.5184364318847656,86.99999900590097,False,13.122499993187375,200,CANDIDATE,0.7239763776871746,3.0000009940990253,176.99999900590097,False,0,,,,,,,,0.0,,200.21059999999125,WITHHELD,,,ACOUSTIC_NOT_TRACKING
2683,2026-08-31T17:47:52.382+01:00,540272.3415000001,1.5882495641708374,90.99999684048139,False,14.470499998424202,200,CANDIDATE,0.7239763776871746,3.0000009940990253,176.99999900590097,False,0,,,,,,,,0.0,,265.197899992927,WITHHELD,,,ACOUSTIC_NOT_TRACKING
2684,2026-08-31T17:47:52.439+01:00,540334.5246000027,1.5882495641708374,90.99999684048139,False,19.550400000298396,200,CANDIDATE,0.7019966475075055,3.0000009940990253,176.99999900590097,False,0,,,,,,,,0.0,,69.12820000434294,WITHHELD,,,ACOUSTIC_NOT_TRACKING
2685,2026-08-31T17:47:52.640+01:00,540526.7478999959,1.5882495641708374,90.99999684048139,False,11.133299994980916,200,TRACKING_AXIS,0.7019966475075055,3.0000009940990253,176.99999900590097,False,0,,,,,,,,0.0,,68.24699998833239,WITHHELD,,,NO_FACE
